Cód,Materia,Primer llamado,Hora,Segundo llamado,Hora
30.61,Instalaciones Mecánicas en Plantas de Proceso,"lunes, 6 de julio de 2026",8:00,"lunes, 13 de julio de 2026",8:00
30.62,Materiales para la Industria Química,"jueves, 2 de julio de 2026",13:00,"jueves, 16 de julio de 2026",13:00
30.70,Introducción a Mecánica de Rocas,"martes, 7 de julio de 2026",19:00,"martes, 14 de julio de 2026",19:00
30.89,Mecánica de Sólidos,"lunes, 6 de julio de 2026",8:00,"lunes, 13 de julio de 2026",8:00
31.08,Sistemas de Representación,"sábado, 4 de julio de 2026",8:00,"martes, 14 de julio de 2026",11:00
31.19,Estática y Resistencia de Materiales,"lunes, 6 de julio de 2026",8:00,"lunes, 13 de julio de 2026",8:00
31.21,Termodinámica,"lunes, 6 de julio de 2026",16:00,"martes, 14 de julio de 2026",13:00
31.22,Mecánica de Fluidos,"miércoles, 8 de julio de 2026",15:00,"miércoles, 15 de julio de 2026",15:00
31.24,Mecánica de Fluidos,"miércoles, 8 de julio de 2026",15:00,"miércoles, 15 de julio de 2026",15:00
31.26,Mecánica de Fluidos,"jueves, 2 de julio de 2026",16:00,"jueves, 16 de julio de 2026",16:00
31.30,Materiales Poliméricos,"lunes, 13 de julio de 2026",11:00,"lunes, 20 de julio de 2026",11:00
31.33,Mecanismos,"martes, 7 de julio de 2026",19:00,"martes, 14 de julio de 2026",19:00
31.37,Transferencia de Calor,"lunes, 13 de julio de 2026",14:00,"lunes, 20 de julio de 2026",14:00
31.38,Turbomáquinas,"viernes, 17 de julio de 2026",15:00,"viernes, 24 de julio de 2026",15:00
31.65,Procesos de Manufactura II,"jueves, 16 de julio de 2026",16:00,"jueves, 23 de julio de 2026",16:00
31.66,"Hidráulica, Neumática y PLC","jueves, 16 de julio de 2026",10:00,"jueves, 23 de julio de 2026",10:00
31.67,Procesos de Manufactura I,"lunes, 13 de julio de 2026",19:00,"lunes, 20 de julio de 2026",19:00
31.68,Instalaciones Industriales,"martes, 7 de julio de 2026",18:00,"miércoles, 15 de julio de 2026",18:00
31.73,Aire Acondicionado y Refrigeración,"viernes, 17 de julio de 2026",16:00,"viernes, 24 de julio de 2026",16:00
31.81,Tecnología de Máquinas,"miércoles, 15 de julio de 2026",11:00,"miércoles, 22 de julio de 2026",11:00
31.82,Sistemas Mecatrónicos,"viernes, 3 de julio de 2026",14:00,"viernes, 17 de julio de 2026",14:00
31.84,Estructuras Automotrices,"martes, 7 de julio de 2026",19:00,"martes, 21 de julio de 2026",19:00
31.85,Transmisiones Automotrices,"jueves, 16 de julio de 2026",13:00,"jueves, 23 de julio de 2026",13:00
31.90,Integridad Estructural,"martes, 14 de julio de 2026",19:00,"martes, 21 de julio de 2026",19:00
31.92,Elementos Finitos II,"jueves, 16 de julio de 2026",14:00,"jueves, 23 de julio de 2026",14:00
31.94,Tecnología de Materiales Compuestos,"miércoles, 15 de julio de 2026",19:00,"miércoles, 22 de julio de 2026",19:00
31.95,Física y Mecánica de Aceros,"martes, 14 de julio de 2026",16:00,"martes, 21 de julio de 2026",16:00
31.96,Deformación y Fractura de Materiales,"martes, 14 de julio de 2026",16:00,"martes, 21 de julio de 2026",16:00
31.97,Corrosión y Degradación de Materiales,"miércoles, 15 de julio de 2026",16:00,"miércoles, 22 de julio de 2026",16:00
31.98,Laboratorio Avanzado de Materiales,"viernes, 17 de julio de 2026",8:00,"viernes, 24 de julio de 2026",8:00
31.99,Mecatrónica Aplicada,"viernes, 3 de julio de 2026",14:00,"viernes, 17 de julio de 2026",14:00
32.03,Motores Marinos,"viernes, 10 de julio de 2026",18:00,"viernes, 17 de julio de 2026",18:00
32.49,Estructura de Buques,"lunes, 13 de julio de 2026",17:00,"lunes, 20 de julio de 2026",17:00
